                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7048,                 1.6612,                 1.5799,                0.70939,                0.82602,                0.90103,                0.58269,                 1.2891,                 1.4294,                 1.3177,                0.00018,                0.00018,                0.00018
                      2,                 1.3799,                0.81919,                 1.2956,                0.87891,                0.93479,                0.96005,                0.61959,                 1.3024,                0.83823,                 1.3074,              0.0002546,              0.0002546,              0.0002546
                      3,                 1.4151,                0.75508,                 1.3166,                0.90813,                 0.8737,                0.94804,                0.57896,                 1.4018,                0.90293,                 1.3637,              0.0001972,              0.0001972,              0.0001972
